Time,Temperature,Humidity
2020/07/05 14:06,75.01999931335449,67.0
2020/07/05 14:12,75.01999931335449,65.5999984741211
2020/07/05 14:18,75.01999931335449,64.4000015258789
2020/07/05 14:24,75.01999931335449,66.0999984741211
2020/07/05 14:30,75.01999931335449,64.0999984741211
2020/07/05 14:36,75.01999931335449,63.400001525878906
2020/07/05 14:42,75.01999931335449,65.5
2020/07/05 14:48,75.01999931335449,65.9000015258789
2020/07/05 14:54,75.01999931335449,64.5
2020/07/05 15:00,74.83999862670899,65.30000305175781
2020/07/05 15:06,74.83999862670899,66.80000305175781
2020/07/05 15:12,75.01999931335449,66.19999694824219
2020/07/05 15:18,74.83999862670899,64.80000305175781
2020/07/05 15:24,74.83999862670899,66.9000015258789
2020/07/05 15:30,75.01999931335449,67.0
2020/07/05 15:36,75.01999931335449,65.0999984741211
2020/07/05 15:42,75.01999931335449,65.69999694824219
2020/07/05 15:48,75.01999931335449,66.5999984741211
2020/07/05 15:54,74.83999862670899,65.30000305175781
2020/07/05 16:00,74.83999862670899,65.4000015258789
2020/07/05 16:06,75.01999931335449,66.5
2020/07/05 16:12,75.01999931335449,66.69999694824219
2020/07/05 16:18,75.01999931335449,64.19999694824219
2020/07/05 16:24,74.83999862670899,63.400001525878906
2020/07/05 16:30,74.83999862670899,65.5
2020/07/05 16:36,74.83999862670899,64.0
2020/07/05 16:42,74.83999862670899,63.900001525878906
2020/07/05 16:48,74.66000137329101,64.80000305175781
2020/07/05 16:54,74.66000137329101,65.69999694824219
2020/07/05 17:00,74.66000137329101,63.5
2020/07/05 17:06,74.66000137329101,63.599998474121094
2020/07/05 17:12,74.66000137329101,64.69999694824219
2020/07/05 17:18,74.48000068664551,63.099998474121094
2020/07/05 17:24,74.48000068664551,64.30000305175781
2020/07/05 17:30,74.3,64.19999694824219
2020/07/05 17:36,74.48000068664551,65.0999984741211
2020/07/05 17:42,74.48000068664551,63.599998474121094
2020/07/05 17:48,74.48000068664551,65.30000305175781
2020/07/05 17:54,74.48000068664551,66.30000305175781
2020/07/05 18:00,74.66000137329101,65.80000305175781
2020/07/05 18:06,74.66000137329101,64.69999694824219
2020/07/05 18:12,74.66000137329101,65.80000305175781
2020/07/05 18:18,74.83999862670899,66.0
2020/07/05 18:24,74.83999862670899,64.9000015258789
2020/07/05 18:30,74.83999862670899,63.5
2020/07/05 18:36,74.83999862670899,64.19999694824219
2020/07/05 18:42,74.83999862670899,63.400001525878906
2020/07/05 18:48,74.66000137329101,62.29999923706055
2020/07/05 18:54,74.66000137329101,61.79999923706055
2020/07/05 19:00,74.66000137329101,62.5
2020/07/05 19:06,74.66000137329101,62.0
2020/07/05 19:12,74.66000137329101,61.79999923706055
2020/07/05 19:18,74.48000068664551,61.099998474121094
2020/07/05 19:24,74.48000068664551,61.099998474121094
2020/07/05 19:30,74.48000068664551,62.5
2020/07/05 19:36,74.48000068664551,60.70000076293945
2020/07/05 19:42,74.48000068664551,62.099998474121094
2020/07/05 19:48,74.3,62.0
2020/07/05 19:54,74.48000068664551,62.29999923706055
2020/07/05 20:00,74.3,61.5
2020/07/05 20:06,74.3,62.099998474121094
2020/07/05 20:12,74.3,63.5
2020/07/05 20:18,74.3,63.400001525878906
2020/07/05 20:24,74.3,62.900001525878906
2020/07/05 20:30,74.3,63.599998474121094
2020/07/05 20:36,74.48000068664551,64.5999984741211
2020/07/05 20:42,74.48000068664551,65.80000305175781
2020/07/05 20:48,74.48000068664551,65.80000305175781
2020/07/05 20:54,74.48000068664551,64.9000015258789
2020/07/05 21:00,74.48000068664551,64.5999984741211
2020/07/05 21:06,74.48000068664551,66.30000305175781
2020/07/05 21:12,74.48000068664551,66.0
2020/07/05 21:18,74.48000068664551,66.9000015258789
2020/07/05 21:24,74.48000068664551,67.30000305175781
2020/07/05 21:30,74.48000068664551,64.30000305175781
2020/07/05 21:36,74.48000068664551,65.0999984741211
2020/07/05 21:42,74.48000068664551,66.19999694824219
2020/07/05 21:48,74.48000068664551,66.5999984741211
2020/07/05 21:54,74.48000068664551,65.5999984741211
2020/07/05 22:00,74.48000068664551,65.5999984741211
2020/07/05 22:06,74.3,65.4000015258789
2020/07/05 22:12,74.3,66.0999984741211
2020/07/05 22:18,74.3,66.0999984741211
2020/07/05 22:24,74.48000068664551,66.19999694824219
2020/07/05 22:30,74.48000068664551,64.0999984741211
2020/07/05 22:36,74.3,64.0999984741211
2020/07/05 22:42,74.3,65.80000305175781
2020/07/05 22:48,74.3,66.5
2020/07/05 22:54,74.3,66.5
2020/07/05 23:00,74.3,66.80000305175781
2020/07/05 23:06,74.48000068664551,65.0
2020/07/05 23:12,74.3,65.9000015258789
2020/07/05 23:18,74.3,65.9000015258789
2020/07/05 23:24,74.3,66.5999984741211
2020/07/05 23:30,74.48000068664551,66.9000015258789
2020/07/05 23:36,74.48000068664551,67.0
2020/07/05 23:42,74.48000068664551,67.0999984741211
2020/07/05 23:48,74.48000068664551,65.0
2020/07/05 23:54,74.48000068664551,66.0999984741211
2020/07/06 00:00,74.48000068664551,66.80000305175781
